year, mo,    data-type, region, extent,   area
1979,  6,      Goddard,      N,  12.53,   9.34
1980,  6,      Goddard,      N,  12.20,   9.00
1981,  6,      Goddard,      N,  12.43,   9.03
1982,  6,      Goddard,      N,  12.48,   9.46
1983,  6,      Goddard,      N,  12.30,   9.27
1984,  6,      Goddard,      N,  12.15,   9.09
1985,  6,      Goddard,      N,  12.22,   8.96
1986,  6,      Goddard,      N,  11.98,   8.99
1987,  6,      Goddard,      N,  12.49,   9.39
1988,  6,      Goddard,      N,  11.94,   9.68
1989,  6,      Goddard,      N,  12.24,   9.95
1990,  6,      Goddard,      N,  11.64,   9.20
1991,  6,      Goddard,      N,  12.11,   9.66
1992,  6,      Goddard,      N,  12.15,   9.95
1993,  6,      Goddard,      N,  11.87,   9.26
1994,  6,      Goddard,      N,  12.02,   9.68
1995,  6,      Goddard,      N,  11.44,   8.94
1996,  6,      Goddard,      N,  12.08,   9.83
1997,  6,      Goddard,      N,  11.74,   9.20
1998,  6,      Goddard,      N,  11.71,   9.18
1999,  6,      Goddard,      N,  11.78,   9.25
2000,  6,      Goddard,      N,  11.67,   9.05
2001,  6,      Goddard,      N,  11.46,   9.09
2002,  6,      Goddard,      N,  11.58,   9.19
2003,  6,      Goddard,      N,  11.60,   9.11
2004,  6,      Goddard,      N,  11.45,   9.24
2005,  6,      Goddard,      N,  11.16,   8.81
2006,  6,      Goddard,      N,  10.92,   8.41
2007,  6,      Goddard,      N,  11.22,   8.21
2008,  6,      Goddard,      N,  11.21,   8.85
2009,  6,      Goddard,      N,  11.32,   9.25
2010,  6,      Goddard,      N,  10.59,   8.37
2011,  6,      Goddard,      N,  10.75,   8.54
2012,  6,      Goddard,      N,  10.67,   8.16
2013,  6,      Goddard,      N,  11.36,   8.95
2014,  6,      Goddard,      N,  11.03,   8.76
2015,  6,      Goddard,      N,  10.88,   8.70
2016,  6,      Goddard,      N,  10.41,   8.21
2017,  6,      Goddard,      N,  10.76,   8.63
2018,  6,      Goddard,      N,  10.78,   8.79
2019,  6,      Goddard,      N,  10.59,   8.32
2020,  6,      Goddard,      N,  10.59,   8.41
2021,  6,      Goddard,      N,  10.77,   8.39
2022,  6,      NRTSI-G,      N,  10.86,   8.60
