year, mo,    data-type, region, extent,   area
1979,  1,      Goddard,      N,  15.41,  12.41
1980,  1,      Goddard,      N,  14.86,  11.94
1981,  1,      Goddard,      N,  14.91,  11.91
1982,  1,      Goddard,      N,  15.18,  12.19
1983,  1,      Goddard,      N,  14.94,  12.01
1984,  1,      Goddard,      N,  14.47,  11.68
1985,  1,      Goddard,      N,  14.72,  11.69
1986,  1,      Goddard,      N,  14.89,  11.88
1987,  1,      Goddard,      N,  14.97,  11.90
1988,  1,        -9999,      N,  -9999,  -9999
1989,  1,      Goddard,      N,  14.95,  13.18
1990,  1,      Goddard,      N,  14.78,  12.80
1991,  1,      Goddard,      N,  14.36,  12.57
1992,  1,      Goddard,      N,  14.64,  12.61
1993,  1,      Goddard,      N,  14.90,  12.93
1994,  1,      Goddard,      N,  14.73,  12.88
1995,  1,      Goddard,      N,  14.59,  12.79
1996,  1,      Goddard,      N,  14.18,  12.15
1997,  1,      Goddard,      N,  14.42,  12.39
1998,  1,      Goddard,      N,  14.72,  12.81
1999,  1,      Goddard,      N,  14.36,  12.60
2000,  1,      Goddard,      N,  14.22,  12.30
2001,  1,      Goddard,      N,  14.20,  12.35
2002,  1,      Goddard,      N,  14.27,  12.26
2003,  1,      Goddard,      N,  14.39,  12.29
2004,  1,      Goddard,      N,  14.03,  12.26
2005,  1,      Goddard,      N,  13.66,  11.92
2006,  1,      Goddard,      N,  13.47,  11.65
2007,  1,      Goddard,      N,  13.70,  11.86
2008,  1,      Goddard,      N,  13.89,  12.30
2009,  1,      Goddard,      N,  13.91,  12.32
2010,  1,      Goddard,      N,  13.74,  12.04
2011,  1,      Goddard,      N,  13.46,  11.83
2012,  1,      Goddard,      N,  13.73,  12.21
2013,  1,      Goddard,      N,  13.70,  12.02
2014,  1,      Goddard,      N,  13.65,  12.10
2015,  1,      Goddard,      N,  13.60,  12.17
2016,  1,      Goddard,      N,  13.46,  11.80
2017,  1,      Goddard,      N,  13.19,  11.37
2018,  1,      Goddard,      N,  13.08,  11.70
2019,  1,      Goddard,      N,  13.57,  12.14
2020,  1,      Goddard,      N,  13.64,  12.15
2021,  1,      Goddard,      N,  13.50,  11.75
2022,  1,      NRTSI-G,      N,  13.88,  12.22
2023,  1,      NRTSI-G,      N,  13.35,  11.83
